"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Fabrication d'armes et de munitions (NAF rév. 2, niveau groupe, poste 25.4)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Fabrication d'armes et de munitions (NAF rév. 2, niveau groupe, poste 25.4)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Fabrication d'armes et de munitions (NAF rév. 2, niveau groupe, poste 25.4)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Fabrication d'armes et de munitions (NAF rév. 2, niveau groupe, poste 25.4)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Fabrication d'armes et de munitions (NAF rév. 2, niveau groupe, poste 25.4)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Fabrication d'armes et de munitions (NAF rév. 2, niveau groupe, poste 25.4)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Fabrication d'armes et de munitions (NAF rév. 2, niveau groupe, poste 25.4)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Fabrication d'armes et de munitions (NAF rév. 2, niveau groupe, poste 25.4)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Fabrication d'armes et de munitions (NAF rév. 2, niveau groupe, poste 25.4)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Fabrication d'armes et de munitions (NAF rév. 2, niveau groupe, poste 25.4)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Fabrication d'armes et de munitions (NAF rév. 2, niveau groupe, poste 25.4)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Fabrication d'armes et de munitions (NAF rév. 2, niveau groupe, poste 25.4)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Fabrication d'armes et de munitions (NAF rév. 2, niveau groupe, poste 25.4)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Fabrication d'armes et de munitions (NAF rév. 2, niveau groupe, poste 25.4)";"Codes"
"idBank";"010767972";"";"010767972";"";"010767972";"";"010767972";"";"010767972";"";"010767972";"";"010767972";"";"010767972";"";"010767972";"";"010767972";"";"010767972";"";"010767972";"";"010767972";"";"010767972";""
"Mises à jour";"04/04/2025 08:45";"";"05/03/2025 08:45";"";"05/02/2025 08:45";"";"10/01/2025 08:45";"";"05/12/2024 08:45";"";"05/11/2024 08:45";"";"04/10/2024 08:45";"";"06/09/2024 08:45";"";"02/08/2024 08:45";"";"05/07/2024 08:45";"";"05/06/2024 08:45";"";"03/05/2024 08:45";"";"05/04/2024 08:45";"";"05/03/2024 08:45";""
"Période";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2022-09";"93.56";"A";"93.29";"A";"98.87";"A";"98.99";"A";"98.75";"A";"98.58";"A";"99.15";"A";"99.2";"A";"99.19";"A";"99.15";"A";"99.13";"A";"99.05";"A";"98.99";"A";"99.11";"A"
"2022-08";"91.08";"A";"91.07";"A";"94.93";"A";"94.96";"A";"94.42";"A";"93.96";"A";"93.55";"A";"95.4";"A";"95.53";"A";"95.7";"A";"95.68";"A";"95.73";"A";"95.7";"A";"95.91";"A"
"2022-07";"90.43";"A";"90.18";"A";"94.76";"A";"94.84";"A";"94.84";"A";"94.11";"A";"93.7";"A";"92.07";"A";"91.22";"A";"90.98";"A";"91.01";"A";"91.12";"A";"91.14";"A";"90.99";"A"
"2022-06";"92.34";"A";"92.4";"A";"97.52";"A";"97.57";"A";"97.51";"A";"97.36";"A";"97.31";"A";"97.17";"A";"97.43";"A";"96.78";"A";"96.77";"A";"96.64";"A";"96.64";"A";"96.72";"A"
"2022-05";"97.6";"A";"97.56";"A";"101.61";"A";"101.62";"A";"101.47";"A";"101.46";"A";"101.42";"A";"101.17";"A";"101.22";"A";"101.38";"A";"101.15";"A";"101.46";"A";"101.44";"A";"101.53";"A"
"2022-04";"90.59";"A";"90.66";"A";"96.23";"A";"96.25";"A";"96.3";"A";"96.24";"A";"96.23";"A";"96.09";"A";"96.37";"A";"96.5";"A";"96.57";"A";"98.84";"A";"98.84";"A";"98.99";"A"
"2022-03";"89.92";"A";"90.03";"A";"95.93";"A";"95.92";"A";"95.93";"A";"95.98";"A";"96.01";"A";"95.84";"A";"95.96";"A";"96.11";"A";"96.06";"A";"95.25";"A";"96.06";"A";"96.29";"A"
"2022-02";"90.19";"A";"90.47";"A";"93.66";"A";"93.67";"A";"93.72";"A";"93.73";"A";"93.79";"A";"93.77";"A";"93.9";"A";"93.96";"A";"94.01";"A";"93.59";"A";"93.5";"A";"94.54";"A"
"2022-01";"100.72";"A";"102.58";"A";"103.94";"A";"104.06";"A";"104.35";"A";"104.15";"A";"104.22";"A";"104.62";"A";"104.76";"A";"104.96";"A";"104.83";"A";"104.2";"A";"103.98";"A";"102.53";"A"
"2021-12";"86.93";"A";"86.28";"A";"87.84";"A";"87.35";"A";"87.04";"A";"87.44";"A";"87.48";"A";"87.41";"A";"87.02";"A";"87.19";"A";"87.52";"A";"87.56";"A";"87.4";"A";"86.96";"A"
"2021-11";"91.66";"A";"91.49";"A";"93.45";"A";"93.54";"A";"94.04";"A";"94.06";"A";"94.11";"A";"94.21";"A";"94.27";"A";"94.26";"A";"94.28";"A";"93.99";"A";"93.93";"A";"94.01";"A"
"2021-10";"101.2";"A";"100.66";"A";"102.76";"A";"102.79";"A";"102.68";"A";"103.44";"A";"103.48";"A";"103.62";"A";"103.71";"A";"103.57";"A";"103.38";"A";"103.32";"A";"103.27";"A";"103.44";"A"
"2021-09";"99.29";"A";"99.17";"A";"100.36";"A";"100.43";"A";"100.31";"A";"100.24";"A";"100.52";"A";"100.6";"A";"100.59";"A";"100.57";"A";"100.57";"A";"100.55";"A";"100.52";"A";"100.62";"A"
"2021-08";"103.6";"A";"103.64";"A";"104.29";"A";"104.31";"A";"103.99";"A";"103.72";"A";"103.49";"A";"104.55";"A";"104.64";"A";"104.75";"A";"104.74";"A";"104.78";"A";"104.77";"A";"104.94";"A"
"2021-07";"93.74";"A";"93.51";"A";"94.24";"A";"94.29";"A";"94.34";"A";"93.83";"A";"93.53";"A";"91.79";"A";"91.1";"A";"90.91";"A";"90.89";"A";"91.11";"A";"91.15";"A";"91.02";"A"
"2021-06";"100.81";"A";"101.03";"A";"100.96";"A";"101.01";"A";"100.94";"A";"100.92";"A";"100.91";"A";"100.95";"A";"101.05";"A";"100.78";"A";"100.84";"A";"100.83";"A";"100.83";"A";"100.87";"A"
"2021-05";"98.57";"A";"98.53";"A";"97.67";"A";"97.68";"A";"97.73";"A";"97.61";"A";"97.61";"A";"97.6";"A";"97.84";"A";"97.86";"A";"97.75";"A";"97.7";"A";"97.73";"A";"97.78";"A"
"2021-04";"103.41";"A";"103.5";"A";"103.18";"A";"103.2";"A";"103.18";"A";"103.2";"A";"103.19";"A";"103.13";"A";"103.23";"A";"103.33";"A";"103.37";"A";"104.81";"A";"104.81";"A";"104.91";"A"
"2021-03";"101.98";"A";"102.06";"A";"101.38";"A";"101.38";"A";"101.37";"A";"101.43";"A";"101.45";"A";"101.38";"A";"101.45";"A";"101.55";"A";"101.52";"A";"101.03";"A";"101.44";"A";"101.61";"A"
"2021-02";"107.76";"A";"107.8";"A";"105.78";"A";"105.79";"A";"105.82";"A";"105.84";"A";"105.88";"A";"105.92";"A";"106.02";"A";"106.04";"A";"106.07";"A";"105.85";"A";"105.84";"A";"106.32";"A"
"2021-01";"111.03";"A";"112.32";"A";"108.09";"A";"108.22";"A";"108.56";"A";"108.28";"A";"108.36";"A";"108.83";"A";"109.07";"A";"109.2";"A";"109.04";"A";"108.47";"A";"108.32";"A";"107.52";"A"
"2020-12";"105.04";"A";"104.68";"A";"101.89";"A";"101.61";"A";"101.38";"A";"101.66";"A";"101.71";"A";"101.7";"A";"101.46";"A";"101.54";"A";"101.85";"A";"101.8";"A";"101.71";"A";"101.31";"A"
"2020-11";"106.33";"A";"106.31";"A";"103.34";"A";"103.36";"A";"103.4";"A";"103.39";"A";"103.42";"A";"103.52";"A";"103.58";"A";"103.56";"A";"103.57";"A";"103.39";"A";"103.37";"A";"103.48";"A"
"2020-10";"102.01";"A";"101.52";"A";"98.04";"A";"98.01";"A";"97.9";"A";"98.25";"A";"98.26";"A";"98.38";"A";"98.31";"A";"98.21";"A";"97.92";"A";"98.13";"A";"98.09";"A";"98.37";"A"
"2020-09";"103.48";"A";"103.46";"A";"99.52";"A";"99.55";"A";"99.52";"A";"99.54";"A";"99.55";"A";"99.64";"A";"99.62";"A";"99.61";"A";"99.61";"A";"99.68";"A";"99.67";"A";"99.78";"A"
"2020-08";"104.45";"A";"104.45";"A";"101.09";"A";"101.09";"A";"101.04";"A";"100.87";"A";"100.8";"A";"101.24";"A";"101.42";"A";"101.43";"A";"101.41";"A";"101.29";"A";"101.31";"A";"101.46";"A"
"2020-07";"117.54";"A";"117.37";"A";"113.1";"A";"113.12";"A";"113.14";"A";"112.89";"A";"112.69";"A";"111.07";"A";"110.65";"A";"110.51";"A";"110.5";"A";"110.82";"A";"110.86";"A";"110.7";"A"
"2020-06";"108.75";"A";"109.01";"A";"104.48";"A";"104.53";"A";"104.61";"A";"104.57";"A";"104.6";"A";"104.85";"A";"105.01";"A";"105.0";"A";"105.1";"A";"104.88";"A";"104.91";"A";"104.91";"A"
"2020-05";"76.18";"A";"76.17";"A";"72.89";"A";"72.9";"A";"73.03";"A";"72.89";"A";"72.92";"A";"73.05";"A";"73.32";"A";"73.25";"A";"73.31";"A";"73.07";"A";"73.12";"A";"73.11";"A"
"2020-04";"66.37";"A";"66.42";"A";"63.53";"A";"63.55";"A";"63.5";"A";"63.53";"A";"63.54";"A";"63.56";"A";"63.57";"A";"63.61";"A";"63.62";"A";"64.05";"A";"64.06";"A";"64.1";"A"
"2020-03";"88.0";"A";"88.02";"A";"83.7";"A";"83.71";"A";"83.72";"A";"83.7";"A";"83.72";"A";"83.76";"A";"83.82";"A";"83.86";"A";"83.83";"A";"83.59";"A";"83.78";"A";"83.9";"A"
"2020-02";"103.86";"A";"103.87";"A";"98.79";"A";"98.8";"A";"98.85";"A";"98.8";"A";"98.83";"A";"98.92";"A";"99.06";"A";"99.03";"A";"99.03";"A";"98.89";"A";"98.91";"A";"98.99";"A"
"2020-01";"90.15";"A";"91.07";"A";"84.72";"A";"84.82";"A";"84.91";"A";"84.8";"A";"84.82";"A";"85.11";"A";"85.12";"A";"85.26";"A";"85.14";"A";"85.13";"A";"85.0";"A";"84.72";"A"
"2019-12";"101.88";"A";"101.69";"A";"96.73";"A";"96.54";"A";"96.46";"A";"96.54";"A";"96.57";"A";"96.63";"A";"96.63";"A";"96.64";"A";"96.84";"A";"96.67";"A";"96.65";"A";"96.39";"A"
"2019-11";"102.22";"A";"102.2";"A";"97.27";"A";"97.28";"A";"97.38";"A";"97.28";"A";"97.3";"A";"97.43";"A";"97.62";"A";"97.57";"A";"97.58";"A";"97.32";"A";"97.34";"A";"97.41";"A"
